,3476
2011,2215
2005,1459
1992,772
1986,554
2006,519
2004,513
1990,499
1994,465
ca. 1985,421
2003,376
1993,337
2008,304
2002,166
2007,160
2010,129
1990-1991,124
1989,93
ca. 1999,92
ca. 1992,55
17-Dec,55
1983,54
ca. 2003,48
1991,43
ca. 1994,36
1984,32
1988,30
"October, 2006",27
1987-1989,26
"July, 2006",25
1990 - 1991,20
ca. 1991,18
1981,16
1995,13
1996,8
ca. 1990,7
16-Feb,7
1985,6
1987,4
2000,4
ca. 2000,4
2001,4
1982,3
ca. 2002,2
"Spring, 2006",2
"January, 2006",2
2/15/06,2
2/11/14,2
Acquisition Date,1
1977,1
1980,1
1976,1
1978,1
1989 (expiration),1
1952,1
1938,1
1957,1
1987-1991,1
1989-1991,1
1930s,1
"
",1
1973,1
1998,1
8/20/98,1
1999,1
ca. 1995,1
1997,1
"November, 2006",1
Spring 2006,1
1989-94,1
