,3442
multi-colored,2248
yellow,1415
red,1189
blue,795
white,751
brown,729
green,620
black,393
violet,271
orange,266
light amber,179
amber,162
other,152
colorless,139
light yellow,131
gray,98
pink,56
beige,50
light beige,24
tan,13
dark brown,12
dark yellow,11
light brown,10
dark amber,9
very light yellow,8
brownish-yellow,8
grey,8
light tan,6
light orange,6
yellow & black,5
reddish-yellow,4
clear,4
various,4
yellowish-white,3
very light beige,3
light grey,2
color,1
white & light grey,1
white & yellow,1
dark grey,1
white & amber,1
 blue,1
peach,1
gold,1
copper,1
light / dark amber,1
brwon,1
matte yellow,1
light green,1
yellowish-green,1
yellow-brown,1
yellowish-black,1
reddish-brown,1
brown / white,1
reddish-orange,1
dark red,1
"brown, grey & yellow",1
brown & beige,1
yellow-orange,1
violet / purple,1
white (fiber) / brown (seeds),1
