raw / natural form,2636
paint-out plate,1787
powder,1466
,1323
slide,1218
paste,758
solution,544
opaque powder,512
photographic paper,377
"opaque,
paste",270
photographic film roll,230
dye on yarn (wool),219
"opaque, 
chunk(s)",192
"transparent, liquid",170
"opaque, 
powder",145
flakes / chips,135
"other solid (wood, fabric, etc.)",115
"translucent, 
chunk(s)",77
solid,72
"transparent,
liquid",62
paste in tube,52
sheet or foil (metal),45
spray,38
solid cube,33
"dried film on glass; opaque, 
solid",30
"transparent,
chunk(s)",28
"translucent, chunk(s)",24
photographic sheet film,24
"opaque, chunk(s)",23
"translucent, 
flake(s)",22
"opaque, 
paste",22
single liquid,21
transparent liquid,18
"opaque,
solid",17
"opaque, 
flake(s)",17
"opaque, 
liquid",16
"translucent, liquid",15
"opaque, 
solid",15
"opaque, 
chunks",15
"transparent, 
paste",14
"dried film on glass; transparent,
solid",14
"opaque, 
block(s)",14
"transparent, solid",13
"transparent, chunk(s)",13
"opaque, liquid",13
"opaque, paste",13
sample book or framed collection,13
pigment on consolidated mortar,13
"opaque, 
granule(s)",12
"opaque, solid",11
"opaque, flake(s)",10
"opaque, 
sheet(s)",10
small paint-out sample,10
"opaque, powder",9
"transparent,
flake(s)",9
"transparent,
sheet(s)",8
opaque paste,8
dye on yarn (cotton),7
beads,7
"translucent, flake(s)",6
dried film,6
"translucent, 
liquid",6
dye on yarn (silk),6
"translucent, paste",5
"translucent, 
sheet(s)",5
dried film on glass,5
"opaque, dried film",5
"opaque,

paste",4
"opaque,
liquid",4
dried film on glass; opaque solid,4
"transparent,
solid",4
"dried film on glass; opaque, solid",4
"translucent, 
solid",4
raw powder,4
thin film (metal),4
movie film,4
crayon,4
"translucent, block(s)",3
"transparent, flake(s)",3
"opaque, granule(s)",3
"transparent, paste",3
"translucent, 
granule(s)",3
opaque chunk(s),3
opaque pieces,3
grains,3
translucent liquid,3
small pellets,3
samples on canvas,3
chunk of grey-green material,2
"liquid, opaque",2
"opaque,  solid",2
"opaque, sheet(s)",2
"translucent, granule(s)",2
opaque sheets,2
dried film on glass; transparent solid,2
"opaque,  dried film",2
"translucent, 
block(s)",2
opaque solid,2
"transparent,
granule(s)",2
opaque chunks,2
"transparent,
flakes",2
coarse powder of reddish-brown fragments,2
coarse powder of dark brown fragments,2
dark brown fragments,2
fragments of clear yellow resin,2
liquid,2
opaque liquid,2
block solid,2
film,2
solid film,2
slide film roll,2
raw / chunks,2
ink stick,2
transparent beads,2
physical form,1
"liquid, translucent",1
"opaque,  liquid",1
"translucent, sheet(s)",1
"transparent, sheet(s)",1
"translucent, solid",1
"opaque,  chunk(s)",1
"transparent,chunk(s)",1
"transparent,  liquid",1
very finely-divided yellow particles,1
very finely-divided white particles,1
very finely-divided black particles,1
very finely-divided red particles,1
transparent solid; sheets,1
transparent sheets,1
"dried film; opaque,",1
"translucent,  dried film",1
"dried film on glass; translucent, 
solid",1
"undiluted blood on filter paper (bovine blood collected from abbatoires)
opaque, 
solid",1
"dried film on glass; transparent, solid",1
"opaque, 
disk(s)",1
"lumps of dark brown wax
opaque, 
paste",1
opaque disk(s),1
opaque grains,1
"chunk(s) 
opaque,",1
translucent flake(s),1
"opaque, 
fiber(s)",1
"transparent,
powder",1
"transparent, powder",1
opaque solid; dried film on glass,1
"hard chunks, translucent, flake(s)",1
"opaque, chunks",1
"opaque, 
flakes",1
"opaque, 
powder 
liquid",1
"chunks 
translucent, 
flake(s)",1
"opaque, 
chunks 
granule(s)",1
"opaque, 
chunks 
chunk(s)",1
"chunks of yellow material
translucent, 
block(s)",1
"strips of sticky, stiff, reddish brown material
translucent, 
chunk(s)",1
"opaque, 
liquid
solid",1
"clear, reddish-brown resin chunks
translucent, 
chunk(s)",1
"grey-brown powder
opaque, 
granule(s)",1
"powder and fragments of clear yellow gum, with some tiny dark bits, plant fibers, and opaque, yellow chunks.",1
"dried film of pale brown material; some areas are clear and other areas are opaque, possibly with plant fibers incorporated into the film",1
fragments and powder of reddish-brown gum,1
soft lumps of dark reddish brown tree exudate,1
dark brown chunks,1
"taupe-colored, somewhat granular, viscous liquid",1
"milky pale yellow-green, somewhat granular, viscous liquid",1
chunks of brown material,1
"transparent,",1
coarse powder of brown fragments,1
"opaque
chunks
solid,
chunks 
opaque, 
granule(s)",1
"many small fragments.  loose powder and numerous buff-colored chunks, plus two clear pale green fragments",1
"dark brown, shiny fragments",1
powder and lumps of dark brown resin,1
"soft, sticky lumps of brown tree trunk exudate",1
powder and fragments of dark brown material,1
green powder and fragments of plant fibers,1
powder and lumps of brown material,1
dark brown lump,1
translucent chunks,1
pliable solid,1
"solid resin, liquid solvent (separate)",1
gel,1
"raw, powdered",1
pellets,1
hardened solution,1
"drop of undiluted sample on filter paper
opaque, 
paste",1
"transparent, viscous liquid",1
dried up - residue only,1
translucent pellets,1
sample on stone,1
fibers,1
lump,1
liquid mixture,1
"chips, powder",1
chunks,1
